pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
166.5,-73.0,0.0,top,,,,RollerEncoder_Panasonic_EVQWGD001,EVQWGD001,tht,True
48.5,-95.5,90.0,bottom,D1,,,diode_tht_sod123,,tht,True
91.5,-90.5,90.0,bottom,D10,,,diode_tht_sod123,,tht,True
91.5,-72.0,90.0,bottom,D11,,,diode_tht_sod123,,tht,True
91.5,-53.5,90.0,bottom,D12,,,diode_tht_sod123,,tht,True
91.5,-35.0,90.0,bottom,D13,,,diode_tht_sod123,,tht,True
111.0,-106.0,90.0,bottom,D14,,,diode_tht_sod123,,tht,True
111.0,-87.5,90.0,bottom,D15,,,diode_tht_sod123,,tht,True
111.0,-69.0,90.0,bottom,D16,,,diode_tht_sod123,,tht,True
111.0,-50.5,90.0,bottom,D17,,,diode_tht_sod123,,tht,True
111.0,-32.0,90.0,bottom,D18,,,diode_tht_sod123,,tht,True
130.5,-109.0,90.0,bottom,D19,,,diode_tht_sod123,,tht,True
48.5,-77.0,90.0,bottom,D2,,,diode_tht_sod123,,tht,True
130.5,-90.5,90.0,bottom,D20,,,diode_tht_sod123,,tht,True
130.5,-72.0,90.0,bottom,D21,,,diode_tht_sod123,,tht,True
130.5,-53.5,90.0,bottom,D22,,,diode_tht_sod123,,tht,True
130.5,-35.0,90.0,bottom,D23,,,diode_tht_sod123,,tht,True
150.0,-93.5,90.0,bottom,D24,,,diode_tht_sod123,,tht,True
150.0,-75.0,90.0,bottom,D25,,,diode_tht_sod123,,tht,True
150.0,-56.5,90.0,bottom,D26,,,diode_tht_sod123,,tht,True
150.0,-38.0,90.0,bottom,D27,,,diode_tht_sod123,,tht,True
157.972101,-111.500846,155.0,bottom,D28,,,diode_tht_sod123,,tht,True
175.645103,-119.741902,155.0,bottom,D29,,,diode_tht_sod123,,tht,True
48.5,-58.5,90.0,bottom,D3,,,diode_tht_sod123,,tht,True
166.5,-64.5,180.0,bottom,D30,,,diode_tht_sod123,,tht,True
48.5,-40.0,90.0,bottom,D4,,,diode_tht_sod123,,tht,True
72.0,-95.5,90.0,bottom,D5,,,diode_tht_sod123,,tht,True
72.0,-77.0,90.0,bottom,D6,,,diode_tht_sod123,,tht,True
72.0,-58.5,90.0,bottom,D7,,,diode_tht_sod123,,tht,True
72.0,-40.0,90.0,bottom,D8,,,diode_tht_sod123,,tht,True
91.5,-109.0,90.0,bottom,D9,,,diode_tht_sod123,,tht,True
164.5,-39.5,0.0,top,DISP1,,,display_nice_view,,tht,False
178.5,-45.5,0.0,top,JST1,,,battery_connector_jst_ph_2,,tht,True
164.5,-35.5,0.0,top,MCU1,,,mcu_nice_nano,,tht,False
174.76689,-112.160428,65.0,top,MH1,,,mounting_hole_npth,,tht,True
171.5,-89.5,0.0,top,MH2,,,mounting_hole_npth,,tht,True
134.0,-22.5,0.0,top,MH3,,,mounting_hole_npth,,tht,True
51.5,-36.0,0.0,top,MH4,,,mounting_hole_npth,,tht,True
51.5,-91.5,0.0,top,MH5,,,mounting_hole_npth,,tht,True
112.0,-56.5,0.0,top,MH6,,,mounting_hole_npth,,tht,True
122.0,-116.5,0.0,top,MH7,,,mounting_hole_npth,,tht,True
182.5,-33.5,0.0,top,PWR1,,,power_switch_smd_side,,smt,True
145.5,-20.5,0.0,top,RST1,,,reset_switch_smd_side,,smt,True
40.0,-91.5,0.0,bottom,S1,,,switch_choc_v1_v2,,tht,False
83.0,-86.5,0.0,bottom,S10,,,switch_choc_v1_v2,,tht,False
83.0,-68.0,0.0,bottom,S11,,,switch_choc_v1_v2,,tht,False
83.0,-49.5,0.0,bottom,S12,,,switch_choc_v1_v2,,tht,False
83.0,-31.0,0.0,bottom,S13,,,switch_choc_v1_v2,,tht,False
102.5,-102.0,0.0,bottom,S14,,,switch_choc_v1_v2,,tht,False
102.5,-83.5,0.0,bottom,S15,,,switch_choc_v1_v2,,tht,False
102.5,-65.0,0.0,bottom,S16,,,switch_choc_v1_v2,,tht,False
102.5,-46.5,0.0,bottom,S17,,,switch_choc_v1_v2,,tht,False
102.5,-28.0,0.0,bottom,S18,,,switch_choc_v1_v2,,tht,False
122.0,-105.0,0.0,bottom,S19,,,switch_choc_v1_v2,,tht,False
40.0,-73.0,0.0,bottom,S2,,,switch_choc_v1_v2,,tht,False
122.0,-86.5,0.0,bottom,S20,,,switch_choc_v1_v2,,tht,False
122.0,-68.0,0.0,bottom,S21,,,switch_choc_v1_v2,,tht,False
122.0,-49.5,0.0,bottom,S22,,,switch_choc_v1_v2,,tht,False
122.0,-31.0,0.0,bottom,S23,,,switch_choc_v1_v2,,tht,False
141.5,-89.5,0.0,bottom,S24,,,switch_choc_v1_v2,,tht,False
141.5,-71.0,0.0,bottom,S25,,,switch_choc_v1_v2,,tht,False
141.5,-52.5,0.0,bottom,S26,,,switch_choc_v1_v2,,tht,False
141.5,-34.0,0.0,bottom,S27,,,switch_choc_v1_v2,,tht,False
150.754614,-117.513989,65.0,bottom,S28,,,switch_choc_v1_v2,,tht,False
168.427616,-125.755045,65.0,bottom,S29,,,switch_choc_v1_v2,,tht,False
40.0,-54.5,0.0,bottom,S3,,,switch_choc_v1_v2,,tht,False
40.0,-36.0,0.0,bottom,S4,,,switch_choc_v1_v2,,tht,False
63.5,-91.5,0.0,bottom,S5,,,switch_choc_v1_v2,,tht,False
63.5,-73.0,0.0,bottom,S6,,,switch_choc_v1_v2,,tht,False
63.5,-54.5,0.0,bottom,S7,,,switch_choc_v1_v2,,tht,False
63.5,-36.0,0.0,bottom,S8,,,switch_choc_v1_v2,,tht,False
83.0,-105.0,0.0,bottom,S9,,,switch_choc_v1_v2,,tht,False
